UPC,Title,price,Availability
e00eb4fd7b871a48,Sharp Objects,Â£47.82,"

    
        In stock (20 available)
    
"
19ed25f4641d5efd,"In a Dark, Dark Wood",Â£19.63,"

    
        In stock (18 available)
    
"
5ee94540d0749ea0,The Past Never Ends,Â£56.50,"

    
        In stock (16 available)
    
"
f733e8c19d40ec2e,A Murder in Time,Â£16.64,"

    
        In stock (16 available)
    
"
c7b5183f4d1d4efe,The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,"

    
        In stock (15 available)
    
"
3bc89353f7e3a3cc,The Last Mile (Amos Decker #2),Â£54.21,"

    
        In stock (14 available)
    
"
0c7b9cf2b7662b65,That Darkness (Gardiner and Renner #1),Â£13.92,"

    
        In stock (14 available)
    
"
2d1e337aaf341858,Tastes Like Fear (DI Marnie Rome #3),Â£10.69,"

    
        In stock (14 available)
    
"
4416c474713ec1f5,A Time of Torment (Charlie Parker #14),Â£48.35,"

    
        In stock (14 available)
    
"
63ee5bc46066a8a8,A Study in Scarlet (Sherlock Holmes #1),Â£16.73,"

    
        In stock (14 available)
    
"
abdd91e96515a617,Poisonous (Max Revere Novels #3),Â£26.80,"

    
        In stock (12 available)
    
"
e7fe3bf2768602cf,Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,"

    
        In stock (12 available)
    
"
c039f5aceb093537,Most Wanted,Â£35.28,"

    
        In stock (12 available)
    
"
bddc6fd036eb6279,Hide Away (Eve Duncan #20),Â£11.84,"

    
        In stock (12 available)
    
"
49b24c6a41b82bd2,Boar Island (Anna Pigeon #19),Â£59.48,"

    
        In stock (12 available)
    
"
6159d8b187831770,The Widow,Â£27.26,"

    
        In stock (11 available)
    
"
05a61a3bd8ca4149,Playing with Fire,Â£13.71,"

    
        In stock (11 available)
    
"
9735c969c652dd89,What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,"

    
        In stock (7 available)
    
"
20789fb17b423c4c,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,"

    
        In stock (7 available)
    
"
4e980425468708da,Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,"

    
        In stock (7 available)
    
"
2da5edf8b5776c9a,The Mysterious Affair at Styles (Hercule Poirot #1),Â£24.80,"

    
        In stock (6 available)
    
"
6958de044cb28a84,In the Woods (Dublin Murder Squad #1),Â£38.38,"

    
        In stock (6 available)
    
"
f06039c29b5891fa,The Silkworm (Cormoran Strike #2),Â£23.05,"

    
        In stock (3 available)
    
"
dd003e904727281a,The Exiled,Â£43.45,"

    
        In stock (3 available)
    
"
1be6d3b121865edb,The Cuckoo's Calling (Cormoran Strike #1),Â£19.21,"

    
        In stock (3 available)
    
"
588ba85ff11a3263,Extreme Prey (Lucas Davenport #26),Â£25.40,"

    
        In stock (3 available)
    
"
b461cf238506c5b8,Career of Evil (Cormoran Strike #3),Â£24.72,"

    
        In stock (3 available)
    
"
b0913e67d38d5ed5,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â£57.70,"

    
        In stock (1 available)
    
"
4280ac3eab57aa5d,The Girl You Lost,Â£12.29,"

    
        In stock (1 available)
    
"
ee61197edb882599,The Girl In The Ice (DCI Erika Foster #1),Â£15.85,"

    
        In stock (1 available)
    
"
95cdfd514098c38b,Blood Defense (Samantha Brinkman #1),Â£20.30,"

    
        In stock (1 available)
    
"
f684a82adc49f011,1st to Die (Women's Murder Club #1),Â£53.98,"

    
        In stock (1 available)
    
"
